2023-06-19 11:48:15 error: uncaughtException: ⨯ Unable to compile TypeScript:
[96msrc/routes/post.route.ts[0m:[93m19[0m:[93m50[0m - [91merror[0m[90m TS1135: [0mArgument expression expected.

[7m19[0m     this.router.get(`${this.path}/category/:id`, , this.postController.getAlbumByCategory);
[7m  [0m [91m                                                 ~[0m

TSError: ⨯ Unable to compile TypeScript:
[96msrc/routes/post.route.ts[0m:[93m19[0m:[93m50[0m - [91merror[0m[90m TS1135: [0mArgument expression expected.

[7m19[0m     this.router.get(`${this.path}/category/:id`, , this.postController.getAlbumByCategory);
[7m  [0m [91m                                                 ~[0m

    at createTSError (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:859:12)
    at reportTSError (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:863:19)
    at C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1379:34
    at Object.compile (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1458:13)
    at Module.m._compile (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1617:30)
    at Module._extensions..js (internal/modules/cjs/loader.js:1114:10)
    at Object.require.extensions.<computed> [as .ts] (C:\Users\Devops3\Documents\Projects\feetflight\feetflight\node_modules\ts-node\src\index.ts:1621:12)
    at Module.load (internal/modules/cjs/loader.js:950:32)
    at Function.Module._load (internal/modules/cjs/loader.js:790:12)
    at Module.require (internal/modules/cjs/loader.js:974:19)
2023-06-19 11:50:04 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:58:00 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:58:00 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:58:01 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:58:01 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:58:09 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 11:58:09 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:10:44 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:10:44 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:11:29 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:11:29 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:13:36 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:13:36 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:41:44 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:41:44 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:41:49 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:41:49 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:41:54 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:41:54 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:42:21 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:42:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:42:23 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:42:23 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:42:30 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:42:30 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:11 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:11 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:12 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:12 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:12 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:12 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:12 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:12 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:18 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:18 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:50 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:50 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:55 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:43:55 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:44:00 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:44:00 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:45:10 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:45:10 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:45:12 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:45:12 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:46:41 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:46:41 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:47:55 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:47:55 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:47:55 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:47:55 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:47:56 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:47:56 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:06 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:08 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:08 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:13 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:13 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:15 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:15 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:25 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:26 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:28 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:32 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:44 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:49:44 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:57:13 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:57:13 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:57:19 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:58:57 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:58:57 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:58:58 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 12:59:01 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:01:20 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:01:23 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:02:23 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:02:43 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:02:46 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:02:51 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:02:53 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:02:55 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:03:35 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:04:02 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:04:06 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:04:26 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:06:59 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:10 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:25 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:27 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:28 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:33 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:33 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:33 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:10:57 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:00 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:02 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:02 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:03 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:07 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:28 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:44 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:54 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:55 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:11:57 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:12:05 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:12:23 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:13:16 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:13:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:13:22 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:13:38 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:13:43 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:00 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:15 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:16 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:20 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:26 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:29 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:47 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:56 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:14:56 error: [POST] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:14:56 error: [POST] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:15:07 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 13:15:34 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:15:34 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:49:06 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:49:06 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:49:07 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 13:49:07 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:12:11 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:14 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:14 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:18 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:18 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:21 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:22 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:12:22 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:13:12 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:13:12 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:41 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:41 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:44 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:44 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:45 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:45 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:51 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:51 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:59 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:14:59 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:03 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:03 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:14 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:14 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:16 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:16 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:20 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:20 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:30 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:34 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:40 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:42 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:15:42 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:15:43 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:43 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:43 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:15:43 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:15:43 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:15:43 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:01 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:02 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:03 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:03 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:04 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:04 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:07 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:07 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:09 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:09 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:09 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:09 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:15 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:15 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:15 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:15 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:21 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:21 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:21 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:21 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:24 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:24 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:16:24 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:16:24 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:17:02 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:17:02 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:17:02 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:17:02 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:06 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:06 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:07 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:07 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:41 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:41 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:41 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:41 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:42 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:42 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:42 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:42 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:58 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:58 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:58 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:58 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:58 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:18:58 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:58 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:18:58 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:19:23 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:19:23 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:19:24 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:19:24 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:19:24 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:19:24 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:19:24 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:19:24 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:19:30 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:19:30 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:19:30 error: [GET] /albums/popular >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:19:30 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
2023-06-19 14:20:25 error: [GET] /albums/popular >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:20:25 error: [GET] /albums/categories >> StatusCode:: 403, Message:: Wrong authentication token
2023-06-19 14:20:25 error: [GET] /albums/categories >> StatusCode:: 404, Message:: Authentication token missing
